score,name,tail,imo,mmsi,flag,geartype,port,km,near,kn,h,vid,flag_gfw,flag_greatcircle
0.3565,BAIA DO FUNCHAL,UNCHAL,9360219,255402260,PRT,POLE_AND_LINE,canical,243.6,191.9,8.2,16.1,8aec663dd-dff1-d382-93f2-b1a202aacf76,TFCCTF{255402260_canical_05.09.2023_12:02_PM_191.9},TFCCTF{255402260_canical_05.09.2023_12:02_PM_243.6}
0.35321,F/V MARILUDE II,UDE II,8537475,227355000,FRA,TRAWLERS,le croisic,486.6,51.8,6.3,42.0,6820ddc28-80e2-e9a7-dc03-bc65394a45f6,TFCCTF{227355000_le croisic_02.09.2023_09:51_AM_51.8},TFCCTF{227355000_le croisic_02.09.2023_09:51_AM_486.6}
0.35294,BELVEDERE,VEDERE,9077939,701000836,ARG,TRAWLERS,mar del plata,997.3,246.4,9.0,59.5,402c2db46-6bf5-0000-4e19-1363ec5a178e,TFCCTF{701000836_mar del plata_05.09.2023_08:05_AM_246.4},TFCCTF{701000836_mar del plata_05.09.2023_08:05_AM_997.3}
0.3525,JOSBERG,OSBERG,9893498,257113250,NOR,SET_GILLNETS,vardo,140.1,125.4,6.7,11.2,6655fcac6-6b64-65bd-4023-e53563d0b8e9,TFCCTF{257113250_vardo_02.09.2023_09:35_PM_125.4},TFCCTF{257113250_vardo_02.09.2023_09:35_PM_140.1}
0.3525,F/V SKETAN,SKETAN,9898474,228374700,FRA,SET_GILLNETS,ile de batz,92.1,74.4,6.7,7.4,16f5ad734-47e9-e4bd-bd81-f6ae089edbd9,TFCCTF{228374700_ile de batz_05.09.2023_05:25_PM_74.4},TFCCTF{228374700_ile de batz_05.09.2023_05:25_PM_92.1}
0.3525,KALICOBA,LICOBA,8584911,250005471,IRL,SET_GILLNETS,castletown bearhaven,177.4,134.9,6.7,14.3,b8bbd44b1-1639-f9ee-333f-f8bbcfa087af,TFCCTF{250005471_castletown bearhaven_06.09.2023_01:30_AM_134.9},TFCCTF{250005471_castletown bearhaven_06.09.2023_01:30_AM_177.4}
0.35063,OKNIN FD543, FD543,7628617,231133000,FRO,FIXED_GEAR,toftir,169.5,138.4,7.1,12.9,6310cfe43-37c8-798c-67c3-e5a431749014,TFCCTF{231133000_toftir_02.09.2023_09:23_AM_138.4},TFCCTF{231133000_toftir_02.09.2023_09:23_AM_169.5}
0.35063,F/V GRAND ST BERNARD,ERNARD,8811522,227376000,FRA,FIXED_GEAR,castletown bearhaven,126.4,94.3,7.1,9.6,89d303d0a-a4c0-0124-9873-dccb5abc7534,TFCCTF{227376000_castletown bearhaven_01.09.2023_03:05_AM_94.3},TFCCTF{227376000_castletown bearhaven_01.09.2023_03:05_AM_126.4}
0.35,PLAYA DE NOJA,E NOJA,8806955,224531000,ESP,TUNA_PURSE_SEINES,dakar,422.7,264.2,10.0,22.9,472962590-0e8b-947d-3f92-4a00e908d511,TFCCTF{224531000_dakar_24.09.2023_06:48_AM_264.2},TFCCTF{224531000_dakar_24.09.2023_06:48_AM_422.7}
0.35,F/V LARCHE,LARCHE,8324531,227382000,FRA,OTHER_SEINES,boulogne-sur-mer,63.6,50.3,7.6,4.5,615356298-8d75-a8fe-374e-e610e044cf59,TFCCTF{227382000_boulogne-sur-mer_06.09.2023_12:35_PM_50.3},TFCCTF{227382000_boulogne-sur-mer_06.09.2023_12:35_PM_63.6}
