score,name,mmsi,flag,geartype,dep_port,n_pv,n_fish,n_fish_sep,single_prior,prior_30d,gap_h,kn,km_calc,km_gfw,agree,exact1dp,namelen,fish_start,rank,vid,flag_calc,err
0.21,YUEHUILAIYU43428,412466888,CHN,TRAWLERS,SHENQUAN,4,63,46,no,1,4.21,9.08,70.7,70.9,0.003,no,16,2023-09-06T04:14:53,0.9197,dd74e6148-83f1-bb54-5dc4-9f1150278ed2,TFCCTF{412466888_shenquan_06.09.2023_04:14_AM_70.7},
0.21,GUIHEYU32288,412502736,CHN,TRAWLERS,YANGJIANG,4,21,18,no,1,5.87,10.35,112.6,104.5,0.0715,no,12,2023-09-05T11:06:18,0.2827,47a96b308-8691-cf2c-6521-df3f7f37563c,TFCCTF{412502736_yangjiang_05.09.2023_11:06_AM_112.6},
0.21,YUEHUILAIYU43188,412466518,CHN,TRAWLERS,SHENQUAN,4,62,41,no,1,4.97,6.26,57.6,54.5,0.0544,no,16,2023-09-05T18:23:02,0.1901,cd2d97421-1d2e-ba6f-b6eb-3f0864a8fc25,TFCCTF{412466518_shenquan_05.09.2023_06:23_PM_57.6},
0.21,GUIBEIYU82066,412502316,CHN,TRAWLERS,YANGJIANG,4,37,24,no,1,16.61,6.11,187.8,172.5,0.0815,no,13,2023-09-05T08:03:28,0.0716,479284e9a-a275-590a-9ddd-533c1f2ae765,TFCCTF{412502316_yangjiang_05.09.2023_08:03_AM_187.8},
0.1909,TOUAJIL,654045600,MRT,TRAWLERS,CANSADO,5,42,19,no,1,12.45,6.78,156.3,157.4,0.0068,no,7,2023-09-09T07:09:37,0.4876,4fcfbeb99-92d9-155a-d1e4-4ebce24dc5f8,TFCCTF{654045600_cansado_09.09.2023_07:09_AM_156.3},
0.1909,YUEHUILAIYU43459,412466278,CHN,TRAWLERS,SHENQUAN,5,44,31,no,1,4.12,7.77,59.2,56.9,0.0384,no,16,2023-09-06T05:42:06,0.4513,749e033e5-5418-562a-0e95-0c703fe8a03e,TFCCTF{412466278_shenquan_06.09.2023_05:42_AM_59.2},
0.1909,ZHEPUYU19111,412423264,CHN,TRAWLERS,NINGBO,5,85,53,no,1,19.0,8.5,299.1,281.7,0.0583,no,12,2023-09-04T23:53:46,0.362,97aeef06d-dc18-cd0e-eb02-85dfd3a810b7,TFCCTF{412423264_ningbo_04.09.2023_11:53_PM_299.1},
0.175,NINO MARTINS III,710280520,BRA,TRAWLERS,ITAJAI,6,30,30,no,1,4.94,6.57,60.2,61.3,0.0192,no,14,2023-09-09T00:01:38,0.3872,ba7f315c3-3c1d-4e44-29ac-baf2084f97ee,TFCCTF{710280520_itajai_09.09.2023_12:01_AM_60.2},
0.175,PARADANTA PRIMERO,224378000,ESP,TRAWLERS,STANLEY,6,78,36,no,1,17.54,7.11,230.9,213.5,0.0755,no,16,2023-09-04T12:06:10,0.1453,6f912b524-426d-e3b4-5ba0-8922681021f8,TFCCTF{224378000_stanley_04.09.2023_12:06_PM_230.9},
0.1615,ALPHA PECHE-1,654005800,MRT,TRAWLERS,CANSADO,7,26,21,no,1,5.59,9.51,98.5,99.2,0.0075,no,12,2023-09-05T05:54:34,0.911,4d8bd2c0c-c5dd-4420-0434-f224813f9c6d,TFCCTF{654005800_cansado_05.09.2023_05:54_AM_98.5},
0.1615,BACALAM,630124008,GNB,TRAWLERS,BISSAU,7,41,20,no,1,10.15,8.67,162.9,168.6,0.0334,no,7,2023-09-01T02:12:50,0.5958,1ea684eb3-34e7-885e-a813-29bcbce1f753,TFCCTF{630124008_bissau_01.09.2023_02:12_AM_162.9},
0.1615,YUEXINHUIYU01239,412462907,CHN,TRAWLERS,ZHUHAI,7,48,45,no,1,8.09,9.17,137.4,131.1,0.0463,no,16,2023-09-04T19:08:16,0.5141,bf83c075d-d6fc-4c77-a17e-48dc7016eeed,TFCCTF{412462907_zhuhai_04.09.2023_07:08_PM_137.4},
0.1615,KALYGIR,273861000,RUS,TRAWLERS,MAGADAN,7,119,74,no,1,9.96,6.05,111.6,107.2,0.0397,no,7,2023-09-01T00:32:09,0.2273,7f9b3b274-4133-0a37-b84d-3dbee7beb8a4,TFCCTF{273861000_magadan_01.09.2023_12:32_AM_111.6},
0.15,DORADO,630123008,GNB,TRAWLERS,BANJUL,8,115,108,no,1,5.65,7.25,75.9,77.8,0.0236,no,6,2023-09-26T17:42:51,0.4768,9f385c9f2-2c79-03a5-d112-814e9b8bc733,TFCCTF{630123008_banjul_26.09.2023_05:42_PM_75.9},
0.1312,ATLANTIC ORION,312833000,BLZ,TRAWLERS,CANSADO,10,392,283,no,1,7.52,7.14,99.6,101.8,0.0222,no,13,2023-09-03T00:30:12,0.4672,a06fb787c-cbbf-afae-504c-96ea92d49e57,TFCCTF{312833000_cansado_03.09.2023_12:30_AM_99.6},
0.1312,KMKA VOYAGER I,316033841,CAN,TRAWLERS,PUBNICO,10,27,21,no,1,11.37,7.64,160.9,152.1,0.0547,no,12,2023-09-29T13:17:00,0.3198,2e1dc651a-a209-0c63-1476-e2ae91345d29,TFCCTF{316033841_pubnico_29.09.2023_01:17_PM_160.9},
0.1235,KAPITAN BOGOMOLOV,273528800,RUS,TRAWLERS,DAKHLA,11,254,169,no,1,7.41,10.57,144.9,149.8,0.0324,no,16,2023-09-01T11:35:55,0.663,57871468a-a994-35af-afb7-b9a23d9ed3aa,TFCCTF{273528800_dakhla_01.09.2023_11:35_AM_144.9},
0.1235,ARGENOVA IX,701000949,ARG,TRAWLERS,PUERTO DESEADO,11,131,81,no,1,16.42,7.77,236.3,234.0,0.0096,no,10,2023-09-03T03:27:42,0.6628,3fae377de-eae4-560c-1b54-973d59034c93,TFCCTF{701000949_puerto deseado_03.09.2023_03:27_AM_236.3},
0.1235,YUEXINHUIYU01236,412467374,CHN,TRAWLERS,ZHUHAI,11,52,38,no,1,8.04,8.56,127.5,131.7,0.0317,no,16,2023-09-04T22:37:20,0.5995,613eaf567-745a-1094-7706-d183ab26306e,TFCCTF{412467374_zhuhai_04.09.2023_10:37_PM_127.5},
